,epoch,validation_error,st_worker_timestamp,st_worker_time,st_worker_iter,st_decision,st_status,trial_id,config_learning_rate,config_num_hiddens,config_num_layers,config_dropout,config_weight_decay,st_tuner_time
0,1,0.146602064371109,1770643657.5171242,61.78343941200001,0,CONTINUE,InProgress,0,0.0001,64,2,0.2,0.0001,70.15851277900003
1,2,0.1000048741698265,1770643707.3191228,111.58543756200004,1,CONTINUE,InProgress,0,0.0001,64,2,0.2,0.0001,120.25506444899996
2,3,0.1023886278271675,1770643754.8030462,159.06936064499996,2,CONTINUE,InProgress,0,0.0001,64,2,0.2,0.0001,170.30384391300004
3,4,0.0785921886563301,1770643802.438461,206.70477618300004,3,CONTINUE,InProgress,0,0.0001,64,2,0.2,0.0001,215.35314075500003
4,5,0.0810944437980651,1770643850.1883423,254.454656832,4,CONTINUE,InProgress,0,0.0001,64,2,0.2,0.0001,265.437091939
5,6,0.0778961926698684,1770643901.1094606,305.37577505,5,CONTINUE,InProgress,0,0.0001,64,2,0.2,0.0001,315.47740607900005
6,7,0.0627264156937599,1770643952.229197,356.495511448,6,CONTINUE,InProgress,0,0.0001,64,2,0.2,0.0001,365.55838762
7,8,0.0681046843528747,1770644002.952744,407.219058636,7,CONTINUE,InProgress,0,0.0001,64,2,0.2,0.0001,415.610330157
8,9,0.0734135806560516,1770644053.8025126,458.068827074,8,CONTINUE,InProgress,0,0.0001,64,2,0.2,0.0001,470.662647319
9,10,0.0670055747032165,1770644105.4477248,509.7140395770001,9,STOP,Completed,0,0.0001,64,2,0.2,0.0001,520.7147679279999
10,1,0.1432225704193115,1770644178.7543015,63.52701514599994,0,CONTINUE,InProgress,1,0.0001495911359329,128,2,0.1476147738646328,1.6645901689023903e-05,590.7766560580001
11,2,0.0754663348197937,1770644236.6253607,121.39807495699984,1,CONTINUE,InProgress,1,0.0001495911359329,128,2,0.1476147738646328,1.6645901689023903e-05,650.837984946
12,3,0.0684042647480964,1770644292.7342093,177.506922604,2,CONTINUE,InProgress,1,0.0001495911359329,128,2,0.1476147738646328,1.6645901689023903e-05,705.8958781890001
13,4,0.0647881180047988,1770644350.4552472,235.2279605229999,3,CONTINUE,InProgress,1,0.0001495911359329,128,2,0.1476147738646328,1.6645901689023903e-05,765.9659911050001
14,5,0.06358253210783,1770644409.0375316,293.810245057,4,CONTINUE,InProgress,1,0.0001495911359329,128,2,0.1476147738646328,1.6645901689023903e-05,826.0415703839999
15,6,0.0508865267038345,1770644467.5792742,352.3519882659998,5,CONTINUE,InProgress,1,0.0001495911359329,128,2,0.1476147738646328,1.6645901689023903e-05,881.10275164
16,7,0.0588873848319053,1770644524.081522,408.854235522,6,CONTINUE,InProgress,1,0.0001495911359329,128,2,0.1476147738646328,1.6645901689023903e-05,936.159467356
17,8,0.0432786494493484,1770644580.935055,465.707768793,7,CONTINUE,InProgress,1,0.0001495911359329,128,2,0.1476147738646328,1.6645901689023903e-05,996.216767147
18,9,0.0525605306029319,1770644638.5213046,523.2940185479999,8,CONTINUE,InProgress,1,0.0001495911359329,128,2,0.1476147738646328,1.6645901689023903e-05,1051.274425349
19,10,0.0499971881508827,1770644694.2112772,578.9839908079998,9,STOP,InProgress,1,0.0001495911359329,128,2,0.1476147738646328,1.6645901689023903e-05,1106.332438059
20,1,0.0606529936194419,1770644764.7786942,63.45499885200002,0,CONTINUE,InProgress,2,0.0017530083914567,128,2,0.3257397067362679,2.756326247359508e-05,1181.423637666
21,2,0.057626586407423,1770644820.899206,119.57551073299987,1,CONTINUE,InProgress,2,0.0017530083914567,128,2,0.3257397067362679,2.756326247359508e-05,1236.487684142
22,3,0.0608990080654621,1770644876.8434608,175.519765688,2,CONTINUE,InProgress,2,0.0017530083914567,128,2,0.3257397067362679,2.756326247359508e-05,1291.54899779
23,4,0.065056525170803,1770644934.563689,233.2399937099999,3,CONTINUE,InProgress,2,0.0017530083914567,128,2,0.3257397067362679,2.756326247359508e-05,1346.613947597
24,5,0.0618914179503917,1770644991.2833889,289.95969333900007,4,CONTINUE,InProgress,2,0.0017530083914567,128,2,0.3257397067362679,2.756326247359508e-05,1406.671256153
25,6,0.089509405195713,1770645047.2387676,345.91507265,5,CONTINUE,InProgress,2,0.0017530083914567,128,2,0.3257397067362679,2.756326247359508e-05,1461.72358074
26,7,0.0657949075102806,1770645103.7121065,402.3884106999999,6,CONTINUE,InProgress,2,0.0017530083914567,128,2,0.3257397067362679,2.756326247359508e-05,1516.78228541
27,8,0.0687820613384246,1770645161.611995,460.2882996100002,7,CONTINUE,InProgress,2,0.0017530083914567,128,2,0.3257397067362679,2.756326247359508e-05,1576.848344773
28,9,0.0664174631237983,1770645218.255064,516.9313685699999,8,CONTINUE,InProgress,2,0.0017530083914567,128,2,0.3257397067362679,2.756326247359508e-05,1631.9047188559998
29,10,0.0725509002804756,1770645274.239972,572.9162769300001,9,STOP,InProgress,2,0.0017530083914567,128,2,0.3257397067362679,2.756326247359508e-05,1686.961080556
30,1,0.101473681628704,1770645365.338014,83.38866097100026,0,CONTINUE,InProgress,3,0.0025316191149188,128,3,0.4151163065044498,1.230178124798792e-05,1782.0748067210002
31,2,0.1187411323189735,1770645439.5962777,157.64692376500034,1,CONTINUE,InProgress,3,0.0025316191149188,128,3,0.4151163065044498,1.230178124798792e-05,1852.154534624
32,3,0.1239867508411407,1770645512.385515,230.43616094300023,2,STOP,InProgress,3,0.0025316191149188,128,3,0.4151163065044498,1.230178124798792e-05,1927.220479291
33,1,0.2767216563224792,1770645596.570317,74.15888446899999,0,STOP,InProgress,4,0.0001534289159209,32,5,0.3321633596677949,1.4498402105477588e-05,2012.311238277
34,1,0.4313165545463562,1770645969.936379,362.41952258799984,0,STOP,InProgress,5,0.0040451236848661,256,5,0.1345090761600413,0.000102081361609,2382.655528931
35,1,0.0973222479224205,1770646059.742938,82.11481883099987,0,CONTINUE,InProgress,6,0.0001421575594849,128,3,0.1860334726325385,0.0005039874485029,2472.744293244
36,2,0.1036222800612449,1770646131.072032,153.44391245499992,1,CONTINUE,InProgress,6,0.0001421575594849,128,3,0.1860334726325385,0.0005039874485029,2547.838840048
37,3,0.1274832934141159,1770646204.521036,226.89291727599996,2,STOP,InProgress,6,0.0001421575594849,128,3,0.1860334726325385,0.0005039874485029,2617.912368581
38,1,0.2797390222549438,1770646286.860603,74.25728120299982,0,STOP,InProgress,7,0.0001357451468412,32,5,0.2089369850712261,1.339773782668638e-05,2703.013408464
39,1,0.1144337058067321,1770646373.4740758,74.54848514500009,0,CONTINUE,InProgress,8,0.000684973837322,64,5,0.3487986741366698,0.0004722965171127,2788.109900292
40,2,0.1294546723365783,1770646439.1431546,140.21756328900028,1,CONTINUE,InProgress,8,0.000684973837322,64,5,0.3487986741366698,0.0004722965171127,2853.176820597
41,3,0.1196363344788551,1770646505.7530303,206.82743911900025,2,STOP,InProgress,8,0.000684973837322,64,5,0.3487986741366698,0.0004722965171127,2918.247378208
42,1,0.1117322221398353,1770646566.7103412,53.383306645000175,0,CONTINUE,InProgress,9,0.0005686729473332,32,2,0.4813781806985959,0.0004159474207838,2983.374070154
43,2,0.0698747932910919,1770646612.844775,99.51773971400009,1,CONTINUE,InProgress,9,0.0005686729473332,32,2,0.4813781806985959,0.0004159474207838,3028.44828062
44,3,0.0668698921799659,1770646659.7702613,146.44322622400023,2,CONTINUE,InProgress,9,0.0005686729473332,32,2,0.4813781806985959,0.0004159474207838,3073.553601083
45,4,0.0839718580245971,1770646708.504904,195.17786884900036,3,CONTINUE,InProgress,9,0.0005686729473332,32,2,0.4813781806985959,0.0004159474207838,3123.621447508
46,5,0.1015969514846801,1770646757.8191087,244.49207345600007,4,CONTINUE,InProgress,9,0.0005686729473332,32,2,0.4813781806985959,0.0004159474207838,3173.674849904
47,6,0.0855162143707275,1770646807.4947703,294.16773519100025,5,CONTINUE,InProgress,9,0.0005686729473332,32,2,0.4813781806985959,0.0004159474207838,3223.768735877
48,7,0.0738231167197227,1770646856.5872817,343.26024603,6,CONTINUE,InProgress,9,0.0005686729473332,32,2,0.4813781806985959,0.0004159474207838,3268.825036189
49,8,0.1027291342616081,1770646902.6962252,389.369189907,7,CONTINUE,InProgress,9,0.0005686729473332,32,2,0.4813781806985959,0.0004159474207838,3318.889433898
50,9,0.0769432932138443,1770646948.6950002,435.36796502100015,8,STOP,InProgress,9,0.0005686729473332,32,2,0.4813781806985959,0.0004159474207838,3364.001403707
51,1,0.2667070925235748,1770647031.0113218,72.02352929500012,0,STOP,InProgress,10,0.0001317513771598,64,5,0.1377191788236356,0.0008958976283597,3444.083150128
52,1,0.1109101101756095,1770647138.7235217,99.9486886919999,0,CONTINUE,InProgress,11,0.0003631572336868,128,4,0.1114719927800952,0.000489124774107,3554.18125406
